id,Title,Content,SKU,"Product Type",parent_id,Color,"Custom Color",Size,Color,Custom-color-code,Size,Sizes,"Regular Price","Product Categories","Product Type"
475,"Variation #475 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1/2 Gallon Kit with Reducer - White- Fast ($98.85)",98.95,,
476,"Variation #476 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1/2 Gallon Kit with Reducer - White - Regular ($98.85)",98.95,,
477,"Variation #477 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1 Quart Kit with Reducer - White- Fast ($67.40)",67.40,,
478,"Variation #478 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1 Quart Kit with Reducer - White- Regular ($67.40)",67.40,,
479,"Variation #479 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1 Pint Kit with Reducer - White Fast ($41.95)",41.95,,
480,"Product #344 Variation",,,variable,344,,,,,,,"1 Pint Kit with Reducer - White - Regular ($41.95)",,,
481,"Epoxy Kit - Gray Primer #50 without Reducer","<div class=""product-byline panel"">
<div class=""product-byline panel"">*When to use #420 Fast Catalyst - Use this catalyst in situations where fast dry times for your prime coat are required.  This is the <strong>ONLY</strong> Klass Kote epoxy catalyst component we sell that <strong>does not require</strong> an induction (waiting) period after mixing - before applying.
With Primer Catalyst White Fast #420, you mix it thoroughly with the side-A component, reduce it with Epoxy Reducer #500, then immediately strain it into your spray equipment or brush it on right away - no waiting.  With other Klass Kote Epoxy catalysts - you need to let the mixture sit (induct) for a minimum of 30 minutes before reducing it and applying. <a href=""http://klasskote.knoxtest.com/product_info/data/"" target=""_blank""> Read Primer Data sheet</a> for other difference between Reg and Fast Catalyst. Sizes...
<table border=""1"" width=""870"" cellspacing=""0"" cellpadding=""0"" align=""center"">
<tbody>
<tr>
<td>1 Pint Kit</td>
<td>1 Quart Kit</td>
<td>½ Gallon Kit</td>
<td>1 Gallon Kit</td>
<td>2 Gallon Kit</td>
</tr>
<tr>
<td>Covers
30-35 sq. ft. with
1x coat**</td>
<td>Covers
60-70 sq. ft. with
1x coat**</td>
<td>Covers
150-150 sq. ft with
1x coat**</td>
<td>Covers
275-300 sq. ft. with
1x coat**</td>
<td>Covers
550-600 sq. ft. with
1x coat**</td>
</tr>
<tr>
<td></td>
<td></td>
<td></td>
<td></td>
<td></td>
</tr>
<tr>
<td colspan=""5"">** Note - You should always plan on applying at least 2x coats for maximum protection and to get even coverage

** Note - Your application method will be the main factor in determining your actual coverage. ROLLING = least coverage area, BRUSHING = medium coverage area, SPRAYING = maximum coverage area

** Note - Any un-mixed, un-used Klass Kote Epoxy Paint can be stored in an uncontrolled temperature area and will remain usable for years into the future. (SHELF LIFE)</td>
</tr>
</tbody>
</table>
<div></div>
</div>
</div>",KK050K,variable,0,,,,,,,,,"All Products>Side-A Epoxy|All Products>Side-B Catalyst|All Products>Stock Color Epoxy kits",variable
482,"Variation #482 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"2 Gallon Kit without Reducer - Gray - Fast",279.90,,
483,"Variation #483 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"2 Gallon Kit without Reducer - Gray - Regular",279.90,,
484,"Variation #484 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Gallon Kit without Reducer - Gray - Fast",159.90,,
485,"Variation #485 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Gallon Kit without Reducer - Gray - Regular",159.90,,
486,"Variation #486 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1/2 Gallon Kit without Reducer - Gray - Fast",81.90,,
487,"Variation #487 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1/2 Gallon Kit without Reducer - Gray - Regular",81.90,,
488,"Variation #488 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Quart Kit without Reducer - Gray - Fast",55.90,,
489,"Variation #489 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Quart Kit without Reducer - Gray - Regular",55.90,,
490,"Variation #490 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Pint Kit without Reducer - Gray- Fast",33.00,,
491,"Variation #491 of Gray Primer #50 Kit without Reducer",,,variable,481,,,,,,,"1 Pint Kit without Reducer - Gray - Regular",33.90,,
492,"Variation #492 of Klass Kote Epoxy White Primer Kit with Reducer (Copy)",,,variable,481,,,,,,,"1 Pint Kit with Reducer - White - Regular ($41.95)",,,
528,"Epoxy Reducer #500","<h4>Specifications</h4>
<blockquote>1/2 Pint = 8 fluid Ounces - 236.6 ML

1 Pint = 16 fluid Ounces - 473.2 ML

1 Quart = 32 fluid Ounces - 946.4 ML

1 Gallon = 128 fluid Ounces - 3785.6 ML</blockquote>
<em>Larger quantities available. Call for current pricing...</em>",KKR500008,variable,0,,,,,,,,,"All Products>Epoxy Reducers",variable
529,"Variation #529 of Epoxy Reducer #500",,,variable,528,,,,,,"1 Gallon",,8.95,,
530,"Variation #530 of Epoxy Reducer #500",,,variable,528,,,,,,"1 Quart",,11.50,,
531,"Variation #531 of Epoxy Reducer #500",,,variable,528,,,,,,"1 Pint",,11.50,,
532,"Variation #532 of Epoxy Reducer #500",,,variable,528,,,,,,"1/2 Pint ($8.95)",,49.95,,
696,"Custom Color Epoxy Paint (New, First Time Mixes)-Part A","<strong> </strong>
<h1>Important:</h1>
<div class=""product-byline panel""><span class=""product-description product-gap text"">If you choose a custom color option above, READ THE INSTRUCTIONS BELOW! </span></div>
<h2>Submitting your Custom Color:</h2>
We are able to work from some other manufacturers color samples – they must be pastel-based, no fluorescents are available in our epoxy paint line. (Fluorescents, Mirages, Pearls, etc. can be found in our <a href=""http://www.klasskote.com/store/3863370/urethane_products"">Urethane paint line</a>). You may visit a Sherwin Williams or Home Depot and select from their color chip samples. Supply us with the color name and/or number and we will match that color. In a few cases we will need you to mail us the actual sample. We will notify you after you place your order if that is necessary.

You can check out the <a href=""http://www.colorserver.net/"" target=""_blank"">FEDERAL STANDARD Color Server</a> and supply us with the color of your choice from the color picker there.

You can send us <a href=""http://klasskote.knoxtest.com/about-us/contact/"">via US mail</a> your pastel-based color sample. Be sure to include your phone number with your samples.

Questions… call 612-243-1234 or <a href=""http://klasskote.knoxtest.com/about-us/contact/"">email us</a>.",KKACMP,variable,0,,,,,,,,,"All Products>Side-A Epoxy",variable
720,"7 Alarm Fire Air Brush Kit-04-100","<span class=""product-description product-gap text"">Included with the 7 Alarm Fire Air Brush Kit (#04-100):
24-009 Black 4 oz.
24-510 Oreeole Orange 4 oz.
24-610 Trophee Gold 4 oz.
24-700 Applee Red 4 oz.
79-110 White Pearl 4 oz.
79-530 Classic Orange 4 oz.
79-615 Screamin Yellow 4 oz.
34-200 Jammin Cleer / Qt. 32 oz.
50-111-32 Fast Reducer 32 oz.</span>
<div></div>",,simple,0,,,,,,,,139.66,"All Products>Urethane Products>Urethane Air Brush Kits",simple
721,"Pinstriping Urethane Paints","X-otic Striping Paints are made with the best acrylic urethane resin available. This product is second to none in its ability to assist the Pin Stripe artists with the most unique and brightest colors available. Along with superior performance and coverage these colors lay down flat and dry rapidly. Our 38+Striping Colors are available in a wide range of striking, vibrant colors. For best results use X-otic Colours part number 50-333 Slow Urethane Reducer for palleting.",XCPS-90-175-04,simple,0,,,,,,,,20.26,"All Products>Urethane Products>Pinstriping Urethane Paints|All Products>Urethane Products>Pinstriping Urethane Paints",simple
722,"Klass Kote - Urethane Clear - Side-A Only","Klass Kote urethane clear represents the best in acrylic urethane technology. It is a hybrid polymeric blend of polyester and acrylic resins. As a protective, decorative, transparent top coat, Klass Kote Urethane Clear offers ultra violet (uv) protection, outstanding chemical &amp; fuel resistance, flexibility, and extreme gloss retention.

Klass Kote Urethane Clear requires catalyzation with Klass Kote urethane catalyst part-B – which is included in each kit. The mixing ratio is 3 parts urethane clear part-A to 1-part urethane catalyst part-B. The mixture can then be thinned /reduced with Klass Kote Urethane Reducer before application.",,variable,0,,,,,,,,,"All Products>Urethane Products>Klass Kote Urethane Clears and Clear Kits",variable
723,"Variation #723 of ",,,variable,722,,,,,,,,,,
724,"Variation #724 of ",,,variable,722,,,,,,,"1 Gallon (3/4 full) - 96 fluid ounces ($159.95)",159.95,,
725,"Variation #725 of ",,,variable,722,,,,,,,"1 Quart (3/4 full) - 24 fluid ounces ($62.95)",62.95,,
726,"Variation #726 of ",,,variable,722,,,,,,,"1 Pint (3/4 full) - 12 fluid ounces ($39.95)",39.95,,
732,"Ebonee Black Air Brush Base - 4 oz.",,,simple,0,,,,,,,,8.88,"All Products>Urethane Products>Urethane Base Coats and Airbrush Paint",simple
861,"Product #696 Variation",,,variable,696,,,,,,,,,,
862,"Product #696 Variation",,,variable,696,,,,,,,"5 gallons ($749.95)",,,
863,"Product #696 Variation",,,variable,696,,,,,,,"2 gallons ($299.95)",,,
864,"Product #696 Variation",,,variable,696,,,,,,,"1 Gallon ($179.95)",,,
865,"Product #696 Variation",,,variable,696,,,,,,,"1/2 gallon ($109.95)",,,
866,"Product #696 Variation",,,variable,696,,,,,,,"1 Quart ($79.95)",,,
867,"Product #696 Variation",,,variable,696,,,,,,,"1 Pint ($56.95)",,,
868,"Product #696 Variation",,,variable,696,,,,,,,"1/2 Pint ($39.95)",,,
869,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,,,,
870,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"5 gallons ($749.95)",,,
871,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"2 gallons ($299.95)",,,
872,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"1 Gallon ($179.95)",,,
873,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"1/2 gallon ($109.95)",,,
874,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"1 Quart ($79.95)",,,
875,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"1 Pint ($56.95)",,,
876,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color - Non New",,,"1/2 Pint ($39.95)",,,
877,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,,,,
878,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"5 gallons ($749.95)",,,
879,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"2 gallons ($299.95)",,,
880,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"1 Gallon ($179.95)",,,
881,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"1/2 gallon ($109.95)",,,
882,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"1 Quart ($79.95)",,,
883,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"1 Pint ($56.95)",,,
884,"Product #696 Variation",,,variable,696,,,,"Custom Mixed Color (New, First Time) - Part A",,,"1/2 Pint ($39.95)",,,
885,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,,,,
886,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"5 gallons ($749.95)",,,
887,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"2 gallons ($299.95)",,,
888,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"1 Gallon ($179.95)",,,
889,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"1/2 gallon ($109.95)",,,
890,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"1 Quart ($79.95)",,,
891,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"1 Pint ($56.95)",,,
892,"Product #696 Variation",,,variable,696,,,,"Satin Black #900",,,"1/2 Pint ($39.95)",,,
893,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,,,,
894,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"5 gallons ($749.95)",,,
895,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"2 gallons ($299.95)",,,
896,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"1 Gallon ($179.95)",,,
897,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"1/2 gallon ($109.95)",,,
898,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"1 Quart ($79.95)",,,
899,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"1 Pint ($56.95)",,,
900,"Product #696 Variation",,,variable,696,,,,"Pathalo Green Base #375",,,"1/2 Pint ($39.95)",,,
901,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,,,,
902,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"5 gallons ($749.95)",,,
903,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"2 gallons ($299.95)",,,
904,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"1 Gallon ($179.95)",,,
905,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"1/2 gallon ($109.95)",,,
906,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"1 Quart ($79.95)",,,
907,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"1 Pint ($56.95)",,,
908,"Product #696 Variation",,,variable,696,,,,"Deep Green #360",,,"1/2 Pint ($39.95)",,,
909,"Variation #909 of Custom Color Epoxy Paint (New, First Time Mixes)-Part A",,,variable,696,,,,,,,"1 Gallon ($179.95)",,,
910,"Variation #910 of Custom Color Epoxy Paint (New, First Time Mixes)-Part A",,,variable,696,,,,,,,"1/2 gallon ($109.95)",109.95,,
912,"2-GALLON WHITE GLOSS KIT",,c339949bcf91,simple,0,,,,,,,,,,simple
913,"7 Alarm Fire Air Brush Kit-04-100",,ab822031a123,simple,0,,,,,,,,,,simple
914,"A-3 Green",,1e24b612aaab,simple,0,,,,,,,,,,simple
915,"A-5 Grey",,dadea2f2cafa,simple,0,,,,,,,,,,simple
916,"A/N-14 Brown Primer",,d22b8bc121a7,simple,0,,,,,,,,,,simple
917,"A/N-16 Hino Maru - Factory Fresh",,f1fed10bbe33,simple,0,,,,,,,,,,simple
918,"A/N-16 Red Hino Maru-Weathered",,b0e4fbe6bb22,simple,0,,,,,,,,,,simple
919,"A/N-2 Grey",,99bb6fdbf9e2,simple,0,,,,,,,,,,simple
920,"A/N-20 Yellow Leading Edge",,608854a42330,simple,0,,,,,,,,,,simple
921,"Aluminum #80",,41cf78dda54d,simple,0,,,,,,,,,,simple
922,"Aluminum #80 Kit with Reducer",,b076f137f7cd,simple,0,,,,,,,,,,simple
923,"Aluminum #80 Kit without Reducer",,19ba743bb815,simple,0,,,,,,,,,,simple
924,"Applee Red Candee",,fd98f5149d19,simple,0,,,,,,,,,,simple
925,"Aqua Pastel Striping Paint",,c3ed5f90bdec,simple,0,,,,,,,,,,simple
926,"Azure Blue - FS 35231",,94ef567b3a89,simple,0,,,,,,,,,,simple
927,"Battleship Gray #112",,7b100674ee71,simple,0,,,,,,,,,,simple
928,"Battleship Gray #112 Kit with Reducer",,d8c2e4e5bb1c,simple,0,,,,,,,,,,simple
929,"Battleship Gray #112 Kit without Reducer",,022407c5475d,simple,0,,,,,,,,,,simple
930,"Battleship Gray Bathtub Painting Kit",,8318f072db37,simple,0,,,,,,,,,,simple
931,"Battleship Gray Pool Kit",,b6d07e981756,simple,0,,,,,,,,,,simple
932,"Black Candee",,8f6823899c9e,simple,0,,,,,,,,,,simple
933,"Black Gold Pearlin' Basecoat",,af9a71581949,simple,0,,,,,,,,,,simple
934,"Black Lilac Pearlin' Basecoat",,778a15cace5b,simple,0,,,,,,,,,,simple
935,"Black Pearl Striping Paint",,57f538ff98ab,simple,0,,,,,,,,,,simple
936,"Black Primer #52 Kit with Reducer",,997c4aa66e63,simple,0,,,,,,,,,,simple
937,"Black Primer #52 Kit without Reducer",,ac0c9e864ec1,simple,0,,,,,,,,,,simple
938,"Black Sparkle Pearlin' Basecoat",,1c8e5a4a0667,simple,0,,,,,,,,,,simple
939,"Black Violet Pearlin' Basecoat",,8b41cba093f2,simple,0,,,,,,,,,,simple
940,"Bloody Red Air Brush Base",,fe9cf897a055,simple,0,,,,,,,,,,simple
941,"Bloody Red Striping Paint",,b97514a0c15d,simple,0,,,,,,,,,,simple
942,"Bluberree Metallic",,cdb1fd2eba56,simple,0,,,,,,,,,,simple
943,"Blue Air Brush Base",,b847387e25a3,simple,0,,,,,,,,,,simple
944,"Blue Black Anti-Glare Panels",,21a9b7689155,simple,0,,,,,,,,,,simple
945,"Blue Black Pearlin' Basecoat",,61fdacc6d56d,simple,0,,,,,,,,,,simple
946,"Blue Green #358",,4688efeb3572,simple,0,,,,,,,,,,simple
947,"Blue Green #358 Floor Kit",,63cbaa0028bf,simple,0,,,,,,,,,,simple
948,"Blue Green #358 Kit with Reducer",,01cf2fec1706,simple,0,,,,,,,,,,simple
949,"Blue Green #358 Kit without Reducer",,bf92570bcf54,simple,0,,,,,,,,,,simple
950,"Blue Green Pool Kit",,c336cb6680be,simple,0,,,,,,,,,,simple
951,"Blue Grey - FS 36118",,05d159414ab0,simple,0,,,,,,,,,,simple
952,"Blue Jeens Candee",,6e7a38c9510e,simple,0,,,,,,,,,,simple
953,"Blue Pearlin' Basecoat",,cc3a7bf88725,simple,0,,,,,,,,,,simple
954,"Blue Teel Pearlin' Basecoat",,f28db2c6de86,simple,0,,,,,,,,,,simple
955,"Bright Red #206",,2af13afe9de5,simple,0,,,,,,,,,,simple
956,"Bright Red #206 Floor Kit",,a276bfcd5fad,simple,0,,,,,,,,,,simple
957,"Bright Red #206 Kit",,56a7a75a3306,simple,0,,,,,,,,,,simple
958,"Bright Red #206 Kit with Reducer",,0a6bb1fc7bc8,simple,0,,,,,,,,,,simple
959,"Bright Red #206 Kit without Reducer",,9781ae6a9023,simple,0,,,,,,,,,,simple
960,"Bright Red - FS 31136",,6ec01a6b7a3b,simple,0,,,,,,,,,,simple
961,"Bright Red Bathtub Painting Kit",,6bf80aef1af5,simple,0,,,,,,,,,,simple
962,"Bright Red Pool KIt",,64d29d9f0482,simple,0,,,,,,,,,,simple
963,"Bright White Bathtub Painting Kit",,e1cfc3906a5a,simple,0,,,,,,,,,,simple
964,"Brite Copper Striping Paint",,c22d008225b5,simple,0,,,,,,,,,,simple
965,"Brite Gold Striping Paint",,8f2f9fa132dc,simple,0,,,,,,,,,,simple
966,"Brite Orange Air Brush Base",,e6ef1f27098f,simple,0,,,,,,,,,,simple
967,"Brite Orange Striping Paint",,ab8722f55ee2,simple,0,,,,,,,,,,simple
968,"British R.A.F.  P.R.U. Blue",,e37e15635310,simple,0,,,,,,,,,,simple
969,"British R.A.F. Dark Earth",,ea7b0fee21f8,simple,0,,,,,,,,,,simple
970,"British R.A.F. Dark Green",,3e640e29f3b1,simple,0,,,,,,,,,,simple
971,"British R.A.F. Dark Sea Grey",,cf7204c0965e,simple,0,,,,,,,,,,simple
972,"British R.A.F. Ex Dark Sea Grey",,b7a0e41fe14b,simple,0,,,,,,,,,,simple
973,"British R.A.F. Interior Green",,d7809462ee19,simple,0,,,,,,,,,,simple
974,"British R.A.F. Light Earth",,9f6d5b0d6032,simple,0,,,,,,,,,,simple
975,"British R.A.F. Medium Sea Grey",,ac3074fa50f8,simple,0,,,,,,,,,,simple
976,"British R.A.F. Ocean Grey",,06d824ce004a,simple,0,,,,,,,,,,simple
977,"British R.A.F. Roundel Blue",,2665d80615af,simple,0,,,,,,,,,,simple
978,"British R.A.F. Roundel Red",,61fd67f1868e,simple,0,,,,,,,,,,simple
979,"British R.A.F. Sky",,dbc434400665,simple,0,,,,,,,,,,simple
980,"British R.A.F. Sky Blue",,7bd5b0fa203c,simple,0,,,,,,,,,,simple
981,"British R.A.F. Trainer Yellow",,b65ce6262d5f,simple,0,,,,,,,,,,simple
982,"Brown Candee",,4ad1dd84d88a,simple,0,,,,,,,,,,simple
983,"Brown Derby Striping Paint.",,bf58a0ef0939,simple,0,,,,,,,,,,simple
984,"Brown Pearlin' Basecoat",,196c49d9e054,simple,0,,,,,,,,,,simple
985,"Buckskin Striping Paint",,dcce655ad759,simple,0,,,,,,,,,,simple
986,"Buff #225",,24f722c9f97f,simple,0,,,,,,,,,,simple
987,"Buff #225 Kit with Reducer",,2780a4178b2a,simple,0,,,,,,,,,,simple
988,"Buff #225 Kit without Reducer",,1d92bbe75d9e,simple,0,,,,,,,,,,simple
989,"Canaree Yellow Air Brush Base",,12c8f793e2f7,simple,0,,,,,,,,,,simple
990,"Canaree Yellow Striping Base",,9de83df77176,simple,0,,,,,,,,,,simple
991,"Candee Air Brush Kit-04-024",,5a3e098676b1,simple,0,,,,,,,,,,simple
992,"Cement Gray #100 Floor Kit",,bfce674cddcd,simple,0,,,,,,,,,,simple
993,"Cement Gray #108",,32e5a1266178,simple,0,,,,,,,,,,simple
994,"Cement Gray #108 Kit with Reducer",,82674a0fc8af,simple,0,,,,,,,,,,simple
995,"Cement Gray #108 Kit without Reducer",,1203f06225ca,simple,0,,,,,,,,,,simple
996,"Cement Gray Bathtub Painting Kit",,697fde55170c,simple,0,,,,,,,,,,simple
997,"Cement Gray Pool Kit",,ff5febe4a20a,simple,0,,,,,,,,,,simple
998,"Cheeree Red Candee",,cbfe43aabfff,simple,0,,,,,,,,,,simple
999,"Cheesee Yellow Air Brush Base",,9f1e126f59d8,simple,0,,,,,,,,,,simple
1000,"Cheesee Yellow Striping Paint",,26130384c755,simple,0,,,,,,,,,,simple
1001,"Cherree Pearlin' Basecoat",,e86f1bb9d08b,simple,0,,,,,,,,,,simple
1002,"Chestnut Candee",,82aa522187a9,simple,0,,,,,,,,,,simple
1003,"Chineese Blue Candee",,1a52344c9f78,simple,0,,,,,,,,,,simple
1004,"Classic Orange Pearlin' Basecoat",,906cc75e23a8,simple,0,,,,,,,,,,simple
1005,"Classy FX Air Brush Kit",,da3b5c7be409,simple,0,,,,,,,,,,simple
1006,"Clear #40",,d93e1a3b014b,simple,0,,,,,,,,,,simple
1007,"Clear #40",,22ab746fa980,simple,0,,,,,,,,,,simple
1008,"Clear #40 Kit with Reducer",,9fae3ca77cb6,simple,0,,,,,,,,,,simple
1009,"Clear #40 Kit without Reducer",,027208a2e269,simple,0,,,,,,,,,,simple
1010,"Clear #40 Pool Kit",,c924381a5ae7,simple,0,,,,,,,,,,simple
1011,"Clear Coat #40 Kit",,2a7fadbbae38,simple,0,,,,,,,,,,simple
